editorial_net_vs_production,editorial_selections,identity_net_vs_production,identity_selections,image,production_selections
0,20,0,20,tg_bfa95080906d7641a3588674108dc5b8943d24614cb41d2980e5767bc4378662.png,20
0,20,0,20,tg_c0db67b6bec353f4bb347372df011d499bd337d76513f4f5de4a223f3ff99247.png,20
0,20,0,20,tg_c31d50eeb3eb2280d77e236195b7583b155432e548cceed49c7b9f514a8f9b82.png,20
0,20,0,20,tg_c5d53bc0acdfd5d99f34fcaa9963cf742d3f2c67a49fe49259cb3afb17e41956.png,20
-1,0,1,2,tg_cad4d1a64707c8c68990f510f40e739f5e0a1dc444d56de29c80be3379462d9a.png,1
0,20,0,20,tg_cf7a03be1c6e34efbcfec0cc8010544e2deab777a05cb0193d237814244f5c8e.png,20
0,20,1,21,tg_d116b04e74175d66ec440a8cb9c207a3f2d93f5f8cc55115ba00d25fcd3da08f.png,20
0,20,0,20,tg_d17e9db4a42fefe4368a5a1495f01a08c4ddd4c43fda43605a7fdc9467454bfd.png,20
0,20,0,20,tg_d4013aa361485ab2894f71e426c705de78455e93d37fe3f4d2ae27727c70c88c.png,20
0,20,0,20,tg_d771b1b3e3d67068e8b884fbcd2d8bbe4a06da942868023caae49a45957e3d44.png,20
0,20,0,20,tg_dff8aab30bb4fd825ead87707ce7bf811989926bce9afdeab7b1030a29293d09.png,20
0,20,0,20,tg_e0770fc3d6619db33fb692301a29fbf15f0e8e2306bd568064e557a108f69ec3.png,20
0,20,0,20,tg_e259f9a77a234e4d03f415740045fb374b7c68eba06f857d7c79a73500dafe37.png,20
-1,19,0,20,tg_ec8e29756049dec62822ae5f0c6469737edf410e130bab9153ae3e00e6b0b522.png,20
0,20,0,20,tg_ed515fa28c753e1b4650464a11264668a794923c500410c74d6aa85b2f88b417.png,20
0,20,2,22,tg_f132ff5d665aea62ccdcef9f6e14da4da22ecbca330d8dfe3175b93b47c28161.png,20
0,20,0,20,tg_f4323817daee5cef16fa5d83879823f2da5506152fcb7b1b1ce5c777ac036d4d.png,20
0,20,0,20,tg_f7e7033fc25ca1944294573e53a4eccc89a60eccb85bba232ba533b04f433a74.png,20
0,20,0,20,tg_f898abc6e133d50485c751bc2f30ca71ab4c34f3f1000b29c9142a2d518e086d.png,20
0,20,0,20,tg_fb1906b50638e7e795309417cd776e02c2a0e97cf35b9526628fbb19b9429544.png,20
0,20,0,20,tg_fbaf32a54650f629731270135c319348343a6c08189e71f22ccb74b1a1d89521.png,20
